year,player_id,player_name,team,sold_price,sold_price_in_cr,sold_price_in_usd,base_price,base_price_in_cr,base_price_in_usd,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr,status,transferred,overseas
2008,46774,Shaun Pollock,Mumbai Indians,22000000,2.2,550000,8000000,0.8,200000,,,,,,,
2008,47270,Graeme Smith,Rajasthan Royals,10000000,1,250000,10000000,1,250000,,,,,,,
2008,6256,Justin Langer,Rajasthan Royals,8000000,0.8,200000,8000000,0.8,200000,,,,,,,
2008,41028,Kamran Akmal,Rajasthan Royals,6000000,0.6,150000,6000000,0.6,150000,,,,,,,
2008,29990,Mohammad Kaif,Rajasthan Royals,27000000,2.7,675000,5000000,0.5,125000,,,,,,,
2008,32965,Munaf Patel,Rajasthan Royals,11000000,1.1,275000,4000000,0.4,100000,,,,,,,
2008,8166,Shane Warne,Rajasthan Royals,18000000,1.8,450000,18000000,1.8,450000,,,,,,,
2008,43652,Younis Khan,Rajasthan Royals,9000000,0.9,225000,9000000,0.9,225000,,,,,,,
2008,32498,Yusuf Pathan,Rajasthan Royals,19000000,1.9,475000,4000000,0.4,100000,,,,,,,
2008,30176,Anil Kumble,Royal Challengers Bangalore,20000000,2,500000,10000000,1,250000,,,,,,,
2008,8291,Cameron White,Royal Challengers Bangalore,20000000,2,500000,4000000,0.4,100000,,,,,,,
2008,47492,Dale Steyn,Royal Challengers Bangalore,13000000,1.3,325000,6000000,0.6,150000,,,,,,,
2008,45789,Jacques Kallis,Royal Challengers Bangalore,36000000,3.6,900000,9000000,0.9,225000,,,,,,,
2008,44111,Mark Boucher,Royal Challengers Bangalore,18000000,1.8,450000,8000000,0.8,200000,,,,,,,
2008,4185,Nathan Bracken,Royal Challengers Bangalore,13000000,1.3,325000,9000000,0.9,225000,,,,,,,
2008,51469,Shivnarine Chanderpaul,Royal Challengers Bangalore,8000000,0.8,200000,8000000,0.8,200000,,,,,,,
2008,29646,Wasim Jaffer,Royal Challengers Bangalore,6000000,0.6,150000,6000000,0.6,150000,,,,,,,
2008,30102,Zaheer Khan,Royal Challengers Bangalore,18000000,1.8,450000,8000000,0.8,200000,,,,,,,
2008,46788,Ashwell Prince,,,,,7000000,0.7,175000,,,,,,,
2008,43650,Mohammed Yousuf,,,,,14000000,1.4,350000,,,,,,,
2009,12856,Andrew Flintoff,Chennai Super Kings,75531500,7.55315,1550000,46293500,4.62935,950000,,,,,,,
2009,4451,George Bailey,Chennai Super Kings,2436500,0.24365,50000,2436500,0.24365,50000,,,,,,,
2009,49677,Thilan Thushara,Chennai Super Kings,6822200,0.68222,140000,4873000,0.4873,100000,,,,,,,
2009,53118,Dwayne Smith,Deccan Chargers,4873000,0.4873,100000,4873000,0.4873,100000,,,,,,,
2009,51782,Fidel Edwards,Deccan Chargers,7309500,0.73095,150000,7309500,0.73095,150000,,,,,,,
2009,20123,Owais Shah,Delhi Capitals,13400750,1.340075,275000,7309500,0.73095,150000,,,,,,,
2009,10772,Paul Collingwood,Delhi Capitals,13400750,1.340075,275000,12182500,1.21825,250000,,,,,,,
2009,56007,Mashrafe Bin Mortaza,Kolkata Knight Riders,29238000,2.9238,600000,2436500,0.24365,50000,,,,,,,
2009,44932,JP Duminy,Mumbai Indians,46293500,4.62935,950000,14619000,1.4619,300000,,,,,,,
2009,37740,Kyle Mills,Mumbai Indians,7309500,0.73095,150000,7309500,0.73095,150000,,,,,,,
2009,55988,Mohammad Ashraful,Mumbai Indians,3654750,0.365475,75000,3654750,0.365475,75000,,,,,,,
2009,53191,Jerome Taylor,Punjab Kings,7309500,0.73095,150000,7309500,0.73095,150000,,,,,,,
2009,10582,Ravi Bopara,Punjab Kings,21928500,2.19285,450000,7309500,0.73095,150000,,,,,,,
2009,8076,Shaun Tait,Rajasthan Royals,18273750,1.827375,375000,12182500,1.21825,250000,,,,,,,
2009,45434,Tyron Henderson,Rajasthan Royals,31674500,3.16745,650000,4873000,0.4873,100000,,,,,,,
2009,38373,Jesse Ryder,Royal Challengers Bangalore,7796800,0.77968,160000,4873000,0.4873,100000,,,,,,,
2009,19296,Kevin Pietersen,Royal Challengers Bangalore,75531500,7.55315,1550000,65785500,6.57855,1350000,,,,,,,
2010,45797,Justin Kemp,Chennai Super Kings,4585250,0.458525,100000,4585250,0.458525,100000,,,,,,,
2010,233514,Thisara Perera,Chennai Super Kings,2292625,0.2292625,50000,2292625,0.2292625,50000,,,,,,,
2010,230553,Kemar Roach,Deccan Chargers,33013800,3.30138,720000,4585250,0.458525,100000,,,,,,,
2010,265564,Wayne Parnell,Delhi Capitals,27970025,2.7970025,610000,9170500,0.91705,200000,,,,,,,
2010,29990,Mohammad Kaif,Kings XI Punjab,11463125,1.1463125,250000,4585250,0.458525,100000,,,,,,,
2010,224367,Yusuf Abdulla,Kings XI Punjab,917050,0.091705,20000,917050,0.091705,20000,,,,,,,
2010,36326,Shane Bond,Kolkata Knight Riders,34389375,3.4389375,750000,4585250,0.458525,100000,,,,,,,
2010,230559,Kieron Pollard,Mumbai Indians,34389375,3.4389375,750000,9170500,0.91705,200000,,,,,,,
2010,8119,Adam Voges,Rajasthan Royals,2292625,0.2292625,50000,2292625,0.2292625,50000,,,,,,,
2010,6513,Damien Martyn,Rajasthan Royals,4585250,0.458525,100000,4585250,0.458525,100000,,,,,,,
2010,24598,Eoin Morgan,Royal Challengers Bangalore,10087550,1.008755,220000,9170500,0.91705,200000,,,,,,,
2011,46248,Albie Morkel,Chennai Super Kings,22685000,2.2685,500000,,,,,,,,Retained,0,1
2011,5941,Ben Hilfenhaus,Chennai Super Kings,4537000,0.4537,100000,,,,,,,,New,0,1
2011,4508,Doug Bollinger,Chennai Super Kings,31759000,3.1759,700000,,,,,,,,New,0,1
2011,51439,Dwayne Bravo,Chennai Super Kings,9074000,0.9074,200000,,,,,,,,New,0,1
2011,44828,Faf du Plessis,Chennai Super Kings,5444400,0.54444,120000,,,,,,,,New,0,1
2011,4451,George Bailey,Chennai Super Kings,2268500,0.22685,50000,,,,,,,,New,0,1
2011,29976,Joginder Sharma,Chennai Super Kings,6900000,0.69,150000,,,,,,,,New,0,0
2011,237095,M Vijay,Chennai Super Kings,41400000,4.14,900000,,,,,,,,Retained,0,0
2011,28081,MS Dhoni,Chennai Super Kings,82800000,8.28,1800000,,,,,,,,Retained,0,0
2011,5939,Michael Hussey,Chennai Super Kings,19282250,1.928225,425000,,,,,,,,New,0,1
2011,49535,Nuwan Kulasekara,Chennai Super Kings,4537000,0.4537,100000,,,,,,,,New,0,1
2011,26421,R Ashwin,Chennai Super Kings,39100000,3.91,850000,,,,,,,,New,0,0
2011,26806,S Badrinath,Chennai Super Kings,39100000,3.91,850000,,,,,,,,New,0,0
2011,38407,Scott Styris,Chennai Super Kings,9074000,0.9074,200000,,,,,,,,New,0,1
2011,317784,Sudeep Tyagi,Chennai Super Kings,11040000,1.104,240000,,,,,,,,New,0,0
2011,50438,Suraj Randiv,Chennai Super Kings,3629600,0.36296,80000,,,,,,,,New,0,1
2011,33335,Suresh Raina,Chennai Super Kings,59800000,5.98,1300000,,,,,,,,Retained,0,0
2011,279810,Wriddhiman Saha,Chennai Super Kings,4600000,0.46,100000,,,,,,,,New,0,0
2011,31107,Amit Mishra,Deccan Chargers,13800000,1.38,300000,,,,,,,,New,0,0
2011,8291,Cameron White,Deccan Chargers,49907000,4.9907,1100000,,,,,,,,New,0,1
2011,326637,Chris Lynn,Deccan Chargers,907400,0.09074,20000,,,,,,,,New,0,1
2011,47492,Dale Steyn,Deccan Chargers,54444000,5.4444,1200000,,,,,,,,New,0,1
2011,4864,Dan Christian,Deccan Chargers,40833000,4.0833,900000,,,,,,,,New,0,1
2011,236779,Ishant Sharma,Deccan Chargers,20700000,2.07,450000,,,,,,,,New,0,0
2011,44932,JP Duminy,Deccan Chargers,13611000,1.3611,300000,,,,,,,,New,0,1
2011,19296,Kevin Pietersen,Deccan Chargers,29490500,2.94905,650000,,,,,,,,New,0,1
2011,50710,Kumar Sangakkara,Deccan Chargers,31759000,3.1759,700000,,,,,,,,New,0,1
2011,317293,Manpreet Gony,Deccan Chargers,13340000,1.334,290000,,,,,,,,New,0,0
2011,16406,Michael Lumb,Deccan Chargers,3629600,0.36296,80000,,,,,,,,New,0,1
2011,32130,Pragyan Ojha,Deccan Chargers,23000000,2.3,500000,,,,,,,,New,0,0
2011,223642,Rusty Theron,Deccan Chargers,3856450,0.385645,85000,,,,,,,,New,0,1
2011,28235,Shikhar Dhawan,Deccan Chargers,13800000,1.38,300000,,,,,,,,New,0,0
2011,5334,Aaron Finch,Delhi Daredevils,13611000,1.3611,300000,,,,,,,,New,0,1
2011,26184,Ajit Agarkar,Delhi Daredevils,9660000,0.966,210000,,,,,,,,New,0,0
2011,6553,Andrew McDonald,Delhi Daredevils,3629600,0.36296,80000,,,,,,,,New,0,1
2011,227712,Ashok Dinda,Delhi Daredevils,17250000,1.725,375000,,,,,,,,New,0,0
2011,45705,Colin Ingram,Delhi Daredevils,4537000,0.4537,100000,,,,,,,,New,0,1
2011,219889,David Warner,Delhi Daredevils,34027500,3.40275,750000,,,,,,,,New,0,1
2011,32685,Irfan Pathan,Delhi Daredevils,87400000,8.74,1900000,,,,,,,,New,0,0
2011,5702,James Hopes,Delhi Daredevils,15879500,1.58795,350000,,,,,,,,New,0,1
2011,230193,Matthew Wade,Delhi Daredevils,4537000,0.4537,100000,,,,,,,,New,0,1
2011,46538,Morne Morkel,Delhi Daredevils,21550750,2.155075,475000,,,,,,,,New,0,1
2011,32102,Naman Ojha,Delhi Daredevils,12420000,1.242,270000,,,,,,,,New,0,0
2011,45204,Robert Frylinck,Delhi Daredevils,907400,0.09074,20000,,,,,,,,New,0,1
2011,47850,Roelof van der Merwe,Delhi Daredevils,2268500,0.22685,50000,,,,,,,,New,0,1
2011,4292,Travis Birt,Delhi Daredevils,907400,0.09074,20000,,,,,,,,New,0,1
2011,376116,Umesh Yadav,Delhi Daredevils,34500000,3.45,750000,,,,,,,,New,0,0
2011,35805,Venugopal Rao,Delhi Daredevils,32200000,3.22,700000,,,,,,,,New,0,0
2011,35263,Virender Sehwag,Delhi Daredevils,82800000,8.28,1800000,,,,,,,,Retained,0,0
2011,32091,Abhishek Nayar,Kings XI Punjab,36800000,3.68,800000,,,,,,,,New,0,0
2011,5390,Adam Gilchrist,Kings XI Punjab,40833000,4.0833,900000,,,,,,,,New,0,1
2011,5766,David Hussey,Kings XI Punjab,63518000,6.3518,1400000,,,,,,,,New,0,1
2011,30045,Dinesh Karthik,Kings XI Punjab,41400000,4.14,900000,,,,,,,,New,0,0
2011,16932,Dmitri Mascarenhas,Kings XI Punjab,4537000,0.4537,100000,,,,,,,,New,0,1
2011,7443,Nathan Rimmington,Kings XI Punjab,907400,0.09074,20000,,,,,,,,New,0,1
2011,32966,Piyush Chawla,Kings XI Punjab,41400000,4.14,900000,,,,,,,,New,0,0
2011,30732,Praveen Kumar,Kings XI Punjab,36800000,3.68,800000,,,,,,,,New,0,0
2011,5779,Ryan Harris,Kings XI Punjab,14745250,1.474525,325000,,,,,,,,New,0,1
2011,6683,Shaun Marsh,Kings XI Punjab,18148000,1.8148,400000,,,,,,,,New,0,1
2011,10617,Stuart Broad,Kings XI Punjab,18148000,1.8148,400000,,,,,,,,New,0,1
2011,5674,Brad Hodge,Kochi,19282250,1.928225,425000,,,,,,,,New,0,1
2011,37737,Brendon McCullum,Kochi,21550750,2.155075,475000,,,,,,,,New,0,1
2011,228622,John Hastings,Kochi,907400,0.09074,20000,,,,,,,,New,0,1
2011,49289,Mahela Jayawardene,Kochi,68055000,6.8055,1500000,,,,,,,,New,0,1
2011,6161,Michael Klinger,Kochi,3402750,0.340275,75000,,,,,,,,New,0,1
2011,49636,Muttiah Muralitharan,Kochi,49907000,4.9907,1100000,,,,,,,,New,0,1
2011,20123,Owais Shah,Kochi,9074000,0.9074,200000,,,,,,,,New,0,1
2011,32242,Parthiv Patel,Kochi,13340000,1.334,290000,,,,,,,,New,0,0
2011,35280,RP Singh,Kochi,23000000,2.3,500000,,,,,,,,New,0,0
2011,32391,Ramesh Powar,Kochi,8280000,0.828,180000,,,,,,,,New,0,0
2011,234675,Ravindra Jadeja,Kochi,43700000,4.37,950000,,,,,,,,New,0,0
2011,34274,Sreesanth,Kochi,41400000,4.14,900000,,,,,,,,New,0,0
2011,7069,Steve O'Keefe,Kochi,907400,0.09074,20000,,,,,,,,New,0,1
2011,267192,Steven Smith,Kochi,9074000,0.9074,200000,,,,,,,,New,0,1
2011,233514,Thisara Perera,Kochi,3629600,0.36296,80000,,,,,,,,New,0,1
2011,30750,VVS Laxman,Kochi,18400000,1.84,400000,,,,,,,,New,0,0
2011,35731,Vinay Kumar,Kochi,21850000,2.185,475000,,,,,,,,New,0,0
2011,5560,Brad Haddin,Kolkata Knight Riders,14745250,1.474525,325000,,,,,,,,New,0,1
2011,6278,Brett Lee,Kolkata Knight Riders,18148000,1.8148,400000,,,,,,,,New,0,1
2011,24598,Eoin Morgan,Kolkata Knight Riders,15879500,1.58795,350000,,,,,,,,New,0,1
2011,28763,Gautam Gambhir,Kolkata Knight Riders,110400000,11.04,2400000,,,,,,,,New,0,0
2011,45789,Jacques Kallis,Kolkata Knight Riders,49907000,4.9907,1100000,,,,,,,,New,0,1
2011,390484,Jaidev Unadkat,Kolkata Knight Riders,11500000,1.15,250000,,,,,,,,New,0,0
2011,272465,James Pattinson,Kolkata Knight Riders,4537000,0.4537,100000,,,,,,,,New,0,1
2011,26829,L Balaji,Kolkata Knight Riders,23000000,2.3,500000,,,,,,,,New,0,0
2011,35565,Manoj Tiwary,Kolkata Knight Riders,21850000,2.185,475000,,,,,,,,New,0,0
2011,47660,Ryan ten Doeschate,Kolkata Knight Riders,6805500,0.68055,150000,,,,,,,,New,0,1
2011,56143,Shakib Al Hasan,Kolkata Knight Riders,19282250,1.928225,425000,,,,,,,,New,0,1
2011,32498,Yusuf Khan Pathan,Kolkata Knight Riders,96600000,9.66,2100000,,,,,,,,New,0,0
2011,4498,Aiden Blizzard,Mumbai Indians,907400,0.09074,20000,,,,,,,,New,0,1
2011,7702,Andrew Symonds,Mumbai Indians,38564500,3.85645,850000,,,,,,,,New,0,1
2011,6903,Clint McKay,Mumbai Indians,4990700,0.49907,110000,,,,,,,,New,0,1
2011,45782,Davy Jacobs,Mumbai Indians,8620300,0.86203,190000,,,,,,,,New,0,1
2011,29264,Harbhajan Singh,Mumbai Indians,59800000,5.98,1300000,,,,,,,,Retained,0,0
2011,37004,James Franklin,Mumbai Indians,4537000,0.4537,100000,,,,,,,,New,0,1
2011,230559,Kieron Pollard,Mumbai Indians,40833000,4.0833,900000,,,,,,,,Retained,0,1
2011,49758,Lasith Malinga,Mumbai Indians,22685000,2.2685,500000,,,,,,,,Retained,0,1
2011,5961,Moises Henriques,Mumbai Indians,2268500,0.22685,50000,,,,,,,,New,0,1
2011,32965,Munaf Patel,Mumbai Indians,32200000,3.22,700000,,,,,,,,New,0,0
2011,34102,Rohit Sharma,Mumbai Indians,92000000,9.2,2000000,,,,,,,,New,0,0
2011,35320,Sachin Tendulkar,Mumbai Indians,82800000,8.28,1800000,,,,,,,,Retained,0,0
2011,47569,Alfonso Thomas,Pune Warriors,4537000,0.4537,100000,,,,,,,,New,0,1
2011,49764,Angelo Mathews,Pune Warriors,43101500,4.31015,950000,,,,,,,,New,0,1
2011,31820,Ashish Nehra,Pune Warriors,39100000,3.91,850000,,,,,,,,New,0,0
2011,5236,Callum Ferguson,Pune Warriors,13611000,1.3611,300000,,,,,,,,New,0,1
2011,47270,Graeme Smith,Pune Warriors,22685000,2.2685,500000,,,,,,,,New,0,1
2011,53191,Jerome Taylor,Pune Warriors,4537000,0.4537,100000,,,,,,,,New,0,1
2011,38373,Jesse Ryder,Pune Warriors,6805500,0.68055,150000,,,,,,,,New,0,1
2011,272450,Mitchell Marsh,Pune Warriors,13157300,1.31573,290000,,,,,,,,New,0,1
2011,30049,Murali Kartik,Pune Warriors,18400000,1.84,400000,,,,,,,,New,0,0
2011,37749,Nathan McCullum,Pune Warriors,4537000,0.4537,100000,,,,,,,,New,0,1
2011,35582,Robin Uthappa,Pune Warriors,96600000,9.66,2100000,,,,,,,,New,0,0
2011,7252,Tim Paine,Pune Warriors,12249900,1.22499,270000,,,,,,,,New,0,1
2011,265564,Wayne Parnell,Pune Warriors,7259200,0.72592,160000,,,,,,,,New,0,1
2011,36084,Yuvraj Singh,Pune Warriors,82800000,8.28,1800000,,,,,,,,New,0,0
2011,44149,Johan Botha,Rajasthan Royals,43101500,4.31015,950000,,,,,,,,New,0,1
2011,32973,Pankaj Singh,Rajasthan Royals,4370000,0.437,95000,,,,,,,,New,0,0
2011,10772,Paul Collingwood,Rajasthan Royals,11342500,1.13425,250000,,,,,,,,New,0,1
2011,28114,Rahul Dravid,Rajasthan Royals,23000000,2.3,500000,,,,,,,,New,0,0
2011,38699,Ross Taylor,Rajasthan Royals,45370000,4.537,1000000,,,,,,,,New,0,1
2011,8166,Shane Warne,Rajasthan Royals,81666000,8.1666,1800000,,,,,,,,Retained,0,1
2011,8180,Shane Watson,Rajasthan Royals,58981000,5.8981,1300000,,,,,,,,Retained,0,1
2011,8076,Shaun Tait,Rajasthan Royals,13611000,1.3611,300000,,,,,,,,New,0,1
2011,44936,AB de Villiers,Royal Challengers Bangalore,49907000,4.9907,1100000,,,,,,,,New,0,1
2011,310958,Abhimanyu Mithun,Royal Challengers Bangalore,11960000,1.196,260000,,,,,,,,New,0,0
2011,45963,Charl Langeveldt,Royal Challengers Bangalore,6351800,0.63518,140000,,,,,,,,New,0,1
2011,32540,Cheteshwar Pujara,Royal Challengers Bangalore,32200000,3.22,700000,,,,,,,,New,0,0
2011,38710,Daniel Vettori,Royal Challengers Bangalore,24953500,2.49535,550000,,,,,,,,New,0,1
2011,6981,Dirk Nannes,Royal Challengers Bangalore,29490500,2.94905,650000,,,,,,,,New,0,1
2011,47693,Johan van der Wath,Royal Challengers Bangalore,2268500,0.22685,50000,,,,,,,,New,0,1
2011,285687,Jonathan Vandiar,Royal Challengers Bangalore,907400,0.09074,20000,,,,,,,,New,0,1
2011,232284,Luke Pomersbasch,Royal Challengers Bangalore,2268500,0.22685,50000,,,,,,,,New,0,1
2011,29990,Mohammad Kaif,Royal Challengers Bangalore,5980000,0.598,130000,,,,,,,,New,0,0
2011,324358,Nuwan Pradeep,Royal Challengers Bangalore,907400,0.09074,20000,,,,,,,,New,0,1
2011,318845,Rilee Rossouw,Royal Challengers Bangalore,907400,0.09074,20000,,,,,,,,New,0,1
2011,35390,Saurabh Tiwary,Royal Challengers Bangalore,73600000,7.36,1600000,,,,,,,,New,0,0
2011,48472,Tillakaratne Dilshan,Royal Challengers Bangalore,29490500,2.94905,650000,,,,,,,,New,0,1
2011,253802,Virat Kohli,Royal Challengers Bangalore,82800000,8.28,1800000,,,,,,,,Retained,0,0
2011,30102,Zaheer Khan,Royal Challengers Bangalore,41400000,4.14,900000,,,,,,,,New,0,0
2012,234675,Ravindra Jadeja,Chennai Super Kings,92000000,9.2,2000000,,,100000,,,,,,,0
2012,5583,Daniel Harris,Deccan Chargers,3427480,0.342748,70000,,,50000,,,,,,,1
2012,277472,Darren Bravo,Deccan Chargers,4896400,0.48964,100000,,,100000,,,,,,,1
2012,32242,Parthiv Patel,Deccan Chargers,29900000,2.99,650000,,,200000,,,,,,,0
2012,276298,Andre Russell,Delhi Daredevils,22033800,2.20338,450000,,,50000,,,,,,,1
2012,362541,Doug Bracewell,Delhi Daredevils,2448200,0.24482,50000,,,50000,,,,,,,1
2012,19296,Kevin Pietersen,Delhi Daredevils,,,,,,,,,,,,1,1
2012,49289,Mahela Jayawardene,Delhi Daredevils,68549600,6.85496,1400000,,,300000,,,,,,,1
2012,39024,Azhar Mahmood,Kings XI Punjab,9792800,0.97928,200000,,,100000,,,,,,,1
2012,321777,David Miller,Kings XI Punjab,4896400,0.48964,100000,,,,,,,,Retained,,1
2012,391128,Harmeet Singh,Kings XI Punjab,,,,,,,,,,,,1,0
2012,270484,James Faulkner,Kings XI Punjab,9303160,0.930316,190000,,,100000,,,,,,,1
2012,33870,R Sathish,Kings XI Punjab,,,,,,,,,,,,1,0
2012,32391,Ramesh Powar,Kings XI Punjab,7360000,0.736,160000,,,100000,,,,,,,0
2012,37737,Brendon McCullum,Kolkata Knight Riders,44067600,4.40676,900000,,,400000,,,,,,,1
2012,393279,Marchant de Lange,Kolkata Knight Riders,2448200,0.24482,50000,,,50000,,,,,,,1
2012,230558,Sunil Narine,Kolkata Knight Riders,34274800,3.42748,700000,,,50000,,,,,,,1
2012,30045,Dinesh Karthik,Mumbai Indians,,,,,,,,,,,,1,0
2012,45224,Herschelle Gibbs,Mumbai Indians,2448200,0.24482,50000,,,50000,,,,,,,1
2012,6033,Mitchell Johnson,Mumbai Indians,14689200,1.46892,300000,,,300000,,,,,,,1
2012,32130,Pragyan Ojha,Mumbai Indians,,,,,,,,,,,,1,0
2012,35280,RP Singh,Mumbai Indians,27600000,2.76,600000,,,200000,,,,,,,0
2012,46750,Robin Peterson,Mumbai Indians,4896400,0.48964,100000,,,100000,,,,,,,1
2012,233514,Thisara Perera,Mumbai Indians,31826600,3.18266,650000,,,50000,,,,,,,1
2012,28779,Sourav Ganguly,Pune Warriors,18400000,1.84,400000,,,,,,,,Retained,,0
2012,5674,Brad Hodge,Rajasthan Royals,23257900,2.32579,475000,,,200000,,,,,,,1
