player_id,player_name,birthdate,age,nationality,player_role,batting_style,bowling_style,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end,bbi_wkts,bbi_runs,bbm_wkts,bbm_runs
302582,Abhinav Mukund,1990-01-06,36y 174d,India,Top order Batter,Left hand Bat,Legbreak Googly,2011 - 2017,2013,IPL 2013,RCB,1,1.0,0.0,19.0,19.0,19.0,21.0,90.47,0.0,0.0,1.0,0.0,0,0,,,,,,,,,,,,,,,,,,
302582,Abhinav Mukund,1990-01-06,36y 174d,India,Top order Batter,Left hand Bat,Legbreak Googly,2011 - 2017,2007/08,IPL 2007/08,CSK,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0,,,,,,,,,,,,,,,,,,
450860,Adam Fraser Milne,1992-04-13,34y 77d,New Zealand,Bowler,Right hand Bat,Right arm Fast,2010 - 2025,2026,IPL 2026,RR,1,1.0,1.0,2.0,2.0,,2.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,12.3,20.0,,,,,0.0,0.0,0.0,2010-12-26,2025-07-26,2012-11-10,2024-11-19,,,,
450860,Adam Fraser Milne,1992-04-13,34y 77d,New Zealand,Bowler,Right hand Bat,Right arm Fast,2010 - 2025,2022,IPL 2022,CSK,1,,,,,,,,,,,,0,0,0.0,7.6,15.0,,,,,0.0,0.0,0.0,2010-12-26,2025-07-26,2012-11-10,2024-11-19,,,,
450860,Adam Fraser Milne,1992-04-13,34y 77d,New Zealand,Bowler,Right hand Bat,Right arm Fast,2010 - 2025,2021,IPL 2021,MI,4,3.0,1.0,16.0,15.0,8.0,17.0,94.11,0.0,0.0,0.0,1.0,2,0,3.0,9.35,84.0,2/21,2/21,43.66,28.0,0.0,0.0,0.0,2010-12-26,2025-07-26,2012-11-10,2024-11-19,2.0,21.0,2.0,21.0
450860,Adam Fraser Milne,1992-04-13,34y 77d,New Zealand,Bowler,Right hand Bat,Right arm Fast,2010 - 2025,2017,IPL 2017,RCB,4,3.0,1.0,7.0,5.0,3.5,12.0,58.33,0.0,0.0,0.0,0.0,4,0,3.0,9.57,84.0,2/27,2/27,44.66,28.0,0.0,0.0,0.0,2010-12-26,2025-07-26,2012-11-10,2024-11-19,2.0,27.0,2.0,27.0
450860,Adam Fraser Milne,1992-04-13,34y 77d,New Zealand,Bowler,Right hand Bat,Right arm Fast,2010 - 2025,2016,IPL 2016,RCB,1,,,,,,,,,,,,1,0,1.0,10.75,24.0,1/43,1/43,43.0,24.0,0.0,0.0,0.0,2010-12-26,2025-07-26,2012-11-10,2024-11-19,1.0,43.0,1.0,43.0
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2026,IPL 2026,KKR,14,14.0,1.0,335.0,67.0,25.76,248.0,135.08,0.0,2.0,25.0,18.0,8,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2025,IPL 2025,KKR,13,12.0,1.0,390.0,61.0,35.45,264.0,147.72,0.0,3.0,36.0,20.0,5,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2024,IPL 2024,CSK,13,12.0,0.0,242.0,45.0,20.16,196.0,123.46,0.0,0.0,23.0,7.0,1,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2023,IPL 2023,CSK,14,11.0,1.0,326.0,71.0,32.6,189.0,172.48,0.0,2.0,24.0,16.0,8,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2022,IPL 2022,KKR,7,7.0,0.0,133.0,44.0,19.0,128.0,103.9,0.0,0.0,14.0,4.0,3,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2021,IPL 2021,DC,2,1.0,0.0,8.0,8.0,8.0,8.0,100.0,0.0,0.0,1.0,0.0,0,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2020/21,IPL 2020/21,DC,9,8.0,0.0,113.0,60.0,14.12,107.0,105.6,0.0,1.0,12.0,2.0,4,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2019,IPL 2019,RR,14,13.0,1.0,393.0,105.0,32.75,285.0,137.89,1.0,1.0,45.0,9.0,5,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2018,IPL 2018,RR,15,14.0,1.0,370.0,65.0,28.46,313.0,118.21,0.0,1.0,39.0,5.0,4,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2017,IPL 2017,RPS,16,16.0,1.0,382.0,60.0,25.46,323.0,118.26,0.0,2.0,35.0,9.0,6,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2016,IPL 2016,RPS,14,14.0,3.0,480.0,74.0,43.63,379.0,126.64,0.0,6.0,54.0,9.0,7,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2015,IPL 2015,RR,14,13.0,2.0,540.0,91.0,49.09,413.0,130.75,0.0,4.0,53.0,13.0,3,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2014,IPL 2014,RR,13,12.0,0.0,339.0,72.0,28.25,291.0,116.49,0.0,3.0,38.0,3.0,6,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2013,IPL 2013,RR,18,18.0,4.0,488.0,68.0,34.85,458.0,106.55,0.0,4.0,42.0,11.0,10,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2012,IPL 2012,RR,16,16.0,2.0,560.0,103.0,40.0,433.0,129.33,1.0,3.0,73.0,10.0,11,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2011,IPL 2011,RR,10,7.0,1.0,120.0,52.0,20.0,98.0,122.44,0.0,1.0,12.0,2.0,1,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2009,IPL 2009,MI,8,7.0,1.0,144.0,62.0,24.0,123.0,117.07,0.0,2.0,12.0,3.0,1,0,1.0,5.0,6.0,1/5,1/5,5.0,6.0,0.0,0.0,0.0,2011-08-31,2016-08-28,2011-09-03,2018-02-16,1.0,5.0,1.0,5.0
277916,Ajinkya Madhukar Rahane,1988-06-06,38y 23d,India,Top order Batter,Right hand Bat,Right arm Medium,2011 - 2023,2007/08,IPL 2007/08,MI,2,2.0,0.0,4.0,4.0,2.0,17.0,23.52,0.0,0.0,1.0,0.0,0,0,,,,,,,,,,,2011-08-31,2016-08-28,2011-09-03,2018-02-16,,,,
1175458,Akash Maharaj Singh,2002-04-26,24y 64d,India,Bowler,Right hand Bat,Left arm Medium fast,,2026,IPL 2026,LSG,2,,,,,,,,,,,,1,0,4.0,11.42,42.0,3/26,3/26,20.0,10.5,0.0,0.0,0.0,,,,,3.0,26.0,3.0,26.0
1175458,Akash Maharaj Singh,2002-04-26,24y 64d,India,Bowler,Right hand Bat,Left arm Medium fast,,2025,IPL 2025,LSG,3,,,,,,,,,,,,0,0,4.0,8.86,67.0,2/30,2/30,24.75,16.7,0.0,0.0,0.0,,,,,2.0,30.0,2.0,30.0
1175458,Akash Maharaj Singh,2002-04-26,24y 64d,India,Bowler,Right hand Bat,Left arm Medium fast,,2023,IPL 2023,CSK,6,,,,,,,,,,,,1,0,5.0,9.89,114.0,2/40,2/40,37.6,22.8,0.0,0.0,0.0,,,,,2.0,40.0,2.0,40.0
1175458,Akash Maharaj Singh,2002-04-26,24y 64d,India,Bowler,Right hand Bat,Left arm Medium fast,,2021,IPL 2021,RR,1,,,,,,,,,,,,0,0,0.0,9.75,24.0,,,,,0.0,0.0,0.0,,,,,,,,
530812,Akeal Jerome Hosein,1993-04-25,33y 65d,West Indies,Bowler,Left hand Bat,Slow Left arm Orthodox,2021 - 2026,2026,IPL 2026,CSK,7,3.0,3.0,5.0,3.0,,3.0,166.66,0.0,0.0,0.0,0.0,2,0,8.0,8.02,148.0,4/17,4/17,24.75,18.5,1.0,0.0,0.0,2021-07-03,2026-06-14,2021-01-20,2025-10-23,4.0,17.0,4.0,17.0
530812,Akeal Jerome Hosein,1993-04-25,33y 65d,West Indies,Bowler,Left hand Bat,Slow Left arm Orthodox,2021 - 2026,2023,IPL 2023,SRH,1,1.0,1.0,16.0,16.0,,10.0,160.0,0.0,0.0,1.0,1.0,0,0,1.0,10.0,24.0,1/40,1/40,40.0,24.0,0.0,0.0,0.0,2021-07-03,2026-06-14,2021-01-20,2025-10-23,1.0,40.0,1.0,40.0
