year,player_id,player_name,team,sold_price,sold_price_in_cr,prior_season,player_name_stats,birthdate,age,nationality,player_role,international_career,tournament,team_stats,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end,has_prior_season
2008,46248,Albie Morkel,Chennai Super Kings,27081000.0,2.7081,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,38062,Jacob Oram,Chennai Super Kings,27081000.0,2.7081,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,29976,Joginder Sharma,Chennai Super Kings,9027000.0,0.9027,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,28081,Mahendra Singh Dhoni,Chennai Super Kings,60180000.0,6.018,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,46592,Makhaya Ntini,Chennai Super Kings,8024000.0,0.8024,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,5616,Matthew Hayden,Chennai Super Kings,15045000.0,1.5045,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,5939,Michael Hussey,Chennai Super Kings,10030000.0,1.003,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,49636,Muttiah Muralitharan,Chennai Super Kings,24072000.0,2.4072,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,32242,Parthiv Patel,Chennai Super Kings,13039000.0,1.3039,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,37000,Stephen Fleming,Chennai Super Kings,14042000.0,1.4042,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,33335,Suresh Raina,Chennai Super Kings,26078000.0,2.6078,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,5390,Adam Gilchrist,Deccan Chargers,28084000.0,2.8084,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,7702,Andrew Symonds,Deccan Chargers,54162000.0,5.4162,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,50431,Chamara Silva,Deccan Chargers,4012000.0,0.4012,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,50804,Chaminda Vaas,Deccan Chargers,8024000.0,0.8024,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,45224,Herschelle Gibbs,Deccan Chargers,23069000.0,2.3069,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,51050,Nuwan Zoysa,Deccan Chargers,4413200.0,0.44132,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,35280,R P Singh,Deccan Chargers,35105000.0,3.5105,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,34102,Rohit Sharma,Deccan Chargers,30090000.0,3.009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,38407,Scott Styris,Deccan Chargers,7021000.0,0.7021,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,42639,Shahid Afridi,Deccan Chargers,27081000.0,2.7081,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,30750,VVS Laxman,Deccan Chargers,15045000.0,1.5045,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,44936,AB de Villiers,Delhi Capitals,12036000.0,1.2036,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,38710,Daniel Vettori,Delhi Capitals,25075000.0,2.5075,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,30045,Dinesh Karthik,Delhi Capitals,21063000.0,2.1063,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,49638,Farveez Maharoof,Delhi Capitals,9027000.0,0.9027,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,28763,Gautam Gambhir,Delhi Capitals,29087000.0,2.9087,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,6565,Glenn McGrath,Delhi Capitals,14042000.0,1.4042,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,35565,Manoj Tiwary,Delhi Capitals,27081000.0,2.7081,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,41411,Mohammad Asif,Delhi Capitals,26078000.0,2.6078,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,42657,Shoaib Malik,Delhi Capitals,20060000.0,2.006,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,48472,Tillakaratne Dilshan,Delhi Capitals,10030000.0,1.003,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,26184,Ajit Agarkar,Kolkata Knight Riders,14042000.0,1.4042,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,37737,Brendon McCullum,Kolkata Knight Riders,28084000.0,2.8084,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,51880,Chris Gayle,Kolkata Knight Riders,32096000.0,3.2096,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,5766,David Hussey,Kolkata Knight Riders,25075000.0,2.5075,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,236779,Ishant Sharma,Kolkata Knight Riders,38114000.0,3.8114,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,30049,Murali Kartik,Kolkata Knight Riders,17051000.0,1.7051,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,7133,Ricky Ponting,Kolkata Knight Riders,16048000.0,1.6048,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,42655,Shoaib Akhtar,Kolkata Knight Riders,17051000.0,1.7051,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,55805,Tatenda Taibu,Kolkata Knight Riders,5015000.0,0.5015,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,43524,Umar Gul,Kolkata Knight Riders,6018000.0,0.6018,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,48835,Dilhara Fernando,Mumbai Indians,6018000.0,0.6018,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,29264,Harbhajan Singh,Mumbai Indians,34102000.0,3.4102,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,49758,Lasith Malinga,Mumbai Indians,14042000.0,1.4042,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,44098,Loots Bosman,Mumbai Indians,7021000.0,0.7021,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,35582,Robin Uthappa,Mumbai Indians,32096000.0,3.2096,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,49209,Sanath Jayasuriya,Mumbai Indians,39117000.0,3.9117,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,46774,Shaun Pollock,Mumbai Indians,22066000.0,2.2066,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,6278,Brett Lee,Punjab Kings,36108000.0,3.6108,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,32685,Irfan Pathan,Punjab Kings,37111000.0,3.7111,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,50710,Kumar Sangakkara,Punjab Kings,28084000.0,2.8084,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,49289,Mahela Jayawardene,Punjab Kings,19057000.0,1.9057,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,32966,Piyush Chawla,Punjab Kings,16048000.0,1.6048,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,32391,Ramesh Powar,Punjab Kings,6820400.0,0.68204,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,52969,Ramnaresh Sarwan,Punjab Kings,9027000.0,0.9027,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,6128,Simon Katich,Punjab Kings,8024000.0,0.8024,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,34274,Sreesanth,Punjab Kings,25075000.0,2.5075,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,47270,Graeme Smith,Rajasthan Royals,10030000.0,1.003,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,6256,Justin Langer,Rajasthan Royals,8024000.0,0.8024,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,41028,Kamran Akmal,Rajasthan Royals,6018000.0,0.6018,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,29990,Mohammad Kaif,Rajasthan Royals,27081000.0,2.7081,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,32965,Munaf Patel,Rajasthan Royals,11033000.0,1.1033,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,8166,Shane Warne,Rajasthan Royals,18054000.0,1.8054,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,43652,Younis Khan,Rajasthan Royals,9027000.0,0.9027,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,32498,Yusuf Pathan,Rajasthan Royals,19057000.0,1.9057,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,30176,Anil Kumble,Royal Challengers Bangalore,20060000.0,2.006,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,8291,Cameron White,Royal Challengers Bangalore,20060000.0,2.006,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,47492,Dale Steyn,Royal Challengers Bangalore,13039000.0,1.3039,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,45789,Jacques Kallis,Royal Challengers Bangalore,36108000.0,3.6108,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,44111,Mark Boucher,Royal Challengers Bangalore,18054000.0,1.8054,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,4185,Nathan Bracken,Royal Challengers Bangalore,13039000.0,1.3039,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,51469,Shivnarine Chanderpaul,Royal Challengers Bangalore,8024000.0,0.8024,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,29646,Wasim Jaffer,Royal Challengers Bangalore,6018000.0,0.6018,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2008,30102,Zaheer Khan,Royal Challengers Bangalore,18054000.0,1.8054,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,12856,Andrew Flintoff,Chennai Super Kings,74400000.0,7.44,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,4451,George Bailey,Chennai Super Kings,2400000.0,0.24,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,49677,Thilan Thushara,Chennai Super Kings,6720000.0,0.672,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,53118,Dwayne Smith,Deccan Chargers,4800000.0,0.48,2008,Dwayne Romel Smith,"April 12, 1983, Storey Gap, Codrington Hill, St Michael, Barbados",43y 78d,West Indies,Allrounder,2004 - 2015,IPL 2007/08,MI,4.0,3,0,45,20,15.00,40,112.50,0,0,5,1,2.0,0.0,5,7.54,66,3/26,3/26,16.60,13.2,0,0,0,"February 16, 2006","January 14, 2015","January 25, 2004","March 15, 2015",True
2009,51782,Fidel Edwards,Deccan Chargers,7200000.0,0.72,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,20123,Owais Shah,Delhi Capitals,13200000.0,1.32,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,10772,Paul Collingwood,Delhi Capitals,13200000.0,1.32,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,56007,Mashrafe Bin Mortaza,Kolkata Knight Riders,28800000.0,2.88,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,44932,JP Duminy,Mumbai Indians,45600000.0,4.56,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,37740,Kyle Mills,Mumbai Indians,7200000.0,0.72,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,55988,Mohammad Ashraful,Mumbai Indians,3600000.0,0.36,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,53191,Jerome Taylor,Punjab Kings,7200000.0,0.72,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,10582,Ravi Bopara,Punjab Kings,21600000.0,2.16,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,8076,Shaun Tait,Rajasthan Royals,18000000.0,1.8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2009,45434,Tyron Henderson,Rajasthan Royals,31200000.0,3.12,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
